map:duuuza.json
player1:bot.py
player2:bot_python2.py
F 6 7 | F 5 4
T 9 4 | F 8 3
T 6 1 | F 6 8
W | W
W | W
F 6 4 | F 6 8
S archer | S swordsman
W | F 0 8
T 0 2 | W
W | W
S archer | T 0 5
W | F 7 8
W | W
F 6 0 | S archer
W | T 7 5
S archer | S swordsman
W | W
W | W
W | S swordsman
T 1 1 | W
W | W
S archer | W
W | W
S swordsman | W
W | S swordsman
T 4 0 | F 1 3
T 7 6 | S swordsman
S archer | W
T 8 8 | W
W | W
W | W
W | W
F 5 0 | W
W | W
S archer | F 6 3
W | W
W | W
W | W
T 2 7 | W
W | W
W | W
W | W
W | W
W | W
W | W
W | S archer
T 9 1 | W
W | W
W | W
W | W
F 2 3 | T 8 1
S archer | W
F 3 4 | S swordsman
S archer | W
W | W
W | W
T 9 2 | W
W | W
W | W
W | W
F 5 8 | F 3 2
W | S swordsman
S swordsman | T 7 3
W | W
W | W
W | S swordsman
S swordsman | W
S archer | F 3 3
W | W
T 0 5 | W
W | W
W | W
F 0 3 | W
